abbreviation,japanese,english
HAIT,【ハイト】赤血球凝集抑制試験,Hemagglutination Inhibition Test
HAM,【ハム】ヒトT細胞白血病ウイルスI型（HTLV-I）関連脊髄症,HTLV-I　Associated Myelopathy
HAMD,【ハムド】ハミルトンうつ病尺度,Hamilton Depression Scale
HANE,【へイン】遺伝性血管神経性浮腫,Hereditary Angioneurotic Edema
hANP,【ハンプ】ヒト心房性ナトリウム利尿ペプチド,human Atrial Natriuretic Peptide
HAPE,【ヘイプ】高地性肺浮腫,High Altitude Pulmonary Edema
HA（R）S,【ハス】ハミルトン不安（評点）尺度,Hamilton Anxiety(Rating) Scale
HAV,【ハブ】A型肝炎ウイルス,Hepatitis A Virus
HB,【ハーベー】手動弁,Hand Bewegung（独）
Hb,【ヘモグロビン、ハーベー】ヘモグロビン,Hemoglobin
HbA,【ヘモグロビン・エイ】ヘモグロビンA,Hemoglobin A
HbA1c,【ヘモグロビン・エーワンシー】ヘモグロビンA1c,Hemoglobin A1c
HbAg,【エイチビー・アンチゲン】B型肝炎抗原,Hepatitis B Antigen
HbC,【ヘモグロビン・シー】ヘモグロビンC,Hemoglobin C
HBcAb,B型肝炎コア抗体,Hepatitis B core Antibody
HBcAg,B型肝炎コア抗原,Hepatitis B core antigen
HbCO,一酸化炭素ヘモグロビン,Carboxyhemoglobin
HBE,ヒス束心電図,His Bundle Electrogram
HBeAb,B型肝炎e抗原抗体,Antibody to the Hepatitis B Early Antigen
HBeAg,B型肝炎e抗原,Hepatitis B Early Antigen
HBF,肝血流量,Hepatic Blood Flow
HbF,【ヘモグロビン・エフ】胎児ヘモグロビン,Hemoglobin Fetal
HBIG,抗HBｓヒト免疫グロブリン,Hepatitis B Immune Globulin
HbM,ヘモグロビン　M,Hemoglobin M
HBO,高圧酸素療法,Hyperbaric Oxygenation
HbO2,オキシヘモグロビン,Oxyhemoglobin
HbS,鎌状赤血球ヘモグロビン、ヘモグロビン　S,Sickle Cell Hemoglobin、Hemoglobin S
HBsAb,B型肝炎表面抗体、HBｓ抗体,Hepatitis B Surface Antibody
HBsAg,B型肝炎表面抗原、HBｓ抗原,Hepatitis B Surface Antigen
HBV,B型肝炎ウイルス,Hepatitis B Virus
HC,C型肝炎,Hepatitis C
HCC,肝細胞癌,Hepatocellular Carcinoma
HCG、hCG,ヒト絨毛性ゴナドトロピン,Human Chorionic Gonadotropin
HCM,肥大型心筋症,Hypertrophic Cardiomyopathy
HCO3,重炭酸塩,Bicarbonate
Hct,ヘマトクリット,Hematocrit
HCTU,在宅頸椎牽引,Home Carvical Traction Unit
HCV,C型肝炎ウイルス,Hepatitis C virus
HCVD,高血圧性心血管疾患,Hypertensive Cardiovascular Disease
HD,ハウスダスト,House Dust
HDF,血液透析濾過（法）,HemodiaFiltration
HDL,高比重リポ蛋白,High Density Lipoprotein
HDL-C,高比重リポ蛋白コレステロール,High Density Lipoprotein-Cholesterol
HDN,新生児出血性疾患,Hemorrhagic Disease of New Born
HDS,ハイルトンうつ病評価尺度,Hamilton Depression Scale
HDV,D型肝炎ウイルス,Hepatitis D Virus
He,ヘリウム,
Hem、Hemo,痔核,Hemorrhoid
HEV,E型肝炎ウイルス,Hepatitis E Virus
HF,血液濾過,Hemofiltration
HFD,過大体重児,Heavy For Dates(infant)
HFJV,高頻度ジェット換気（法）,High Frequency Jet Ventilation
HFMD,手足口病,Hand Foot and Mouth Disease
HFO,高頻度振動、高頻度人工換気装置（法）,High Frequency Oscillation
HFO(V),高頻度振動式人工換気,High Frequency Oscillatory (ventilation)
HFPPV,高頻度陽圧人工換気,High Frequency Positive Pressure Ventilation
HFV,高頻度人工換気,High Frequency Ventilation
Hg,水銀,Hydrargyrum
Hgb,ヘモグロビン,Hemoglobin
HgF,胎児性血色素,Fetal Hemoglobin
HGG,ヒトγ-グロブリン,Human Gamma-Globulin
HGH、hGH,ヒト成長ホルモン,Human Growth Hormone
HH,裂口ヘルニア,Hiatal Hernia
H&H,（くも膜下出血の）ハントとヘスの分類,Hunt and Hess(classification of subarachnoid hemorrhage)
HHA,健康障害評価,Health Hazaed Appraisal
HHD,高血圧性心疾患,Hypertensive Heart Disease
HHNKC,高浸透圧性高血糖性非ケトン性昏睡,Hyperosmolaric Hyperglycemic Non-Ketotic Coma
HHS,視床下部・下垂体系,Hypothalamic-Hypophyseal Sysrem
HHV-6,ヒトヘルペスウイルス６,Human Herpes Virus 6
HI,頭部外傷,Hemagglutanation Inhibition
HIA,換気誘発性喘息,Hyperventilation Induced Asthma
HIE,低酸素性虚血性脳症,Hypoxic Ischemic Encephalopathy
HIH,高血圧性脳内出血,Hypertensive Intracerebral Hemorrhage
HIT,赤血球凝集抑制試験,Hemagglutination Inhibition Test
HIV,ヒト免疫不全ウイルス,Human Immunodeficiency Virus
HL,高脂血症,Hyperlipidemia
HLHS,左心形成不全症候群,Hypoplastic Left Heart Syndrome
HLP,ハロペリドール,Haloperidol
HLS,高張乳酸加食塩水,Hypertonic Lactated Saline Solution
hLS,ヒト絨毛性ゴナドトロピン様物質,Human Chorionic Gonadotropin Like Substance
HLV,ヘルペス様ウイルス,Helpes-Like Virus
HM,手動弁,Hnad Movement
HMD,肺硝子膜症,Hyaline Membrane Disease
HME,熱湿交換器,Heat and Moisture Exchanger
hMG,ヒト閉経期ゴナドトロピン,Human Menopausal Bonadotropin
HMV,在宅人工換気,Home Mechanical Ventilation
H&N,頭頸部,Head and Neck
HNCM,非閉塞性肥大型心筋症,Hypertrophic Non-Obstructive Cardiomyopathy
HNP,椎間板ヘルニア,Herniated Nucleus Pulposus
HO,親水軟膏,Hydrophilic Ointment
HOA,肥大性骨関節症,Hypertrophic Osteoarthropathy
HOCM,閉塞性肥大型心筋症,Hypertrophic Obstructive Cardiomyopathy
HOT,在宅酸素療法,Home Oxygen Therapy
HP,過敏性肺炎,Hypersensitive Pneumonitis
HP、Hp,ハプトグロビン,Haptoglobin
HPD,膵頭十二指腸切除を伴う肝切除（術）,Hepatectomy with Pancreatoduodenectomy
Hp-F,ヘパリン加新鮮血液,Heparinized Fresh Whole Blood
HPG、hPG,ヒト下垂体性腺刺激ホルモン,Human Pituitary Gonadotropin
HPL、hPL,ヒト胎盤性ラクトゲン,Human Placental Lactogen
HPLH,左心（室）低形成,Hypoplastic Left Heart
HPN,在宅中心静脈栄養法,Home Parenteral Nutrition
HPRH,右心（室）低形成,Hypoplastic Right Heart
HPS,肥厚性幽門狭窄（症）,Hypertrophic Pyloric Stenosis
HPV,ヒトパピローマウイルス,Human Papilloma Virus
HR,心拍数,Heart Rate
Hr,尿,
hr、hrs,時間,hour(s)
HRCT,高分解能コンピュータ断層撮影（法）,High Resolution Computed Tomography
HRT,ホルモン補充療法,Hormone Replacement Therapy
HS,心音,Heart Sound
β-HS,β-溶血性連鎖球菌,Beta-Hemolytic Streptococcus
HAS,ヒト血清アルブミン,Human Serum Albumin
HSE,単純ヘルペスウイルス,Herpes Simplex Encephalitis
HSG,子宮卵管造影（法）,Hysterosalpingography
HSV,選択的近位迷走神経切離（術）,Highly Selective Vagotomy
HSVE,単純ヘルペスウイルス脳炎,Herpes Simplex Virus Encephalitis
HT,高血圧,Hypertension
HT、Ht,身長,Height
Ht,ヘマトクリット,Hematocrit
HTLV,ヒトT細胞白血病ウイルス,Human T-cell Lymphotropic Virus
HTN,高血圧,Hypertension
HTO,高位脛骨骨切り術,High Tibial Osteotomy
HV,外反母趾,
HVGR,宿主対移植片反応,Host Versus Graft Reaction
Hx,病歴,History
Hy,遠視,Hyperopia
Hy、hy,ヒステリー,
Hydro,水頭症,Hydrocephalus
hypo,低血糖症,Hypoglycemia
hys(t)、Hys(t),ヒステリー,Hysteria
hystero,子宮卵管造影（法）,Hysterosalpingography
HZ,帯状疱疹、帯状ヘルペス,Herpes Zoster
HZV,帯状ヘルペスウイルス,Herpes Zoster Virus
I,示指,Index Finger
IA,関節内,Intra-Articular
Ia,Ia抗体,Immune region-Associated(antigen)
IAA,インスリン抗体,Insulin Autoantibody
IABP,大動脈内バルーンパンピング,Intra-Aortic Ballon Pumping
IAC,内耳道,Internal Auditory Canal
IAD,両耳性振幅差,Interaural Amplitude Difference
IADSA,経動脈性DSA,Intra-Arterial　Digital Subtraction Angiography
IAH,特発性アルドステロン症、特発性副腎過形成,Idiopathic Adrenal hyperplasia
IAH、IAHA,免疫粘着赤血球凝集反応,Immune Adherence Hemagglutination
IAR,インターフェロン-β、ニムスチンと放射線照射の併用療法,Interferon beta、Nimustine(ACNU)and radiation
IAS,心房中隔,Intra-Atrerial Septum
IAV,間歇的補助換気,Intermittent Assisted Ventilation
IB,間接型ビリルビン,Indirect Bilirubin
ib、ibid,同じ箇所に,Ibidem（ラ）
IBA,骨皮質指数,Index Bone Area
IBC,鉄結合能,Iron-Binding Capacity
IBD,炎症性腸疾患,Inflammatory Bowel Disease
IBL,免疫芽球性リンパ節症,Immunoblastic Lymphadenopathy
IBS,過敏性腸症候群,Irritable Bowel Syndrome
IBW,標準体重、理想体重,Ideal Body Weight
IC,インフォームドコンセント,Informed consent
IC、ICA,【アイカ】内頚動脈,Internal Carotid Artery
ic,食間,Inbter Cibos（ラ）
ICA,回腸直腸動脈,Ileocolic Artery
ICCE,（白内障）嚢内摘出（術）,Intracapsular Cataract Extraction
ICD,植え込み型除細動器,Inplantable Cardioverter Defibrillator
ICF,細胞内液,Intracellular Fluid
ICH,頭蓋内圧亢進,Intracranial Hypertension
ICM,特発性心筋症,Idiopathic Cardiomyopathy
ICP,頭蓋内圧,Intracranical Pressure
IC-PC,内頚動脈後交通動脈,Internal Carotid-posterior Communicating Artery
ICPCG,心腔内心音図,intracardiac Phonocardiogram
ICS,刺激伝導系,Inpulse Conducting System
ICSI,卵細胞質内精子注入法,Intracytoplasmic Sperm Injection
ICT,インスリン昏睡療法,Insulin Coma Therapy
ICU,集中治療室,Intensive Care Unit
ICV,内大脳静脈,Internal Cerebral Vein
icv,脳脊髄腔内,Intracerebroventriculary
ID,感染症,Infectious Disease
I&D,切開排膿,Incision and Dreinage
id,皮内に,
IDA,鉄欠乏性貧血,Iron Deficiency Anemia
IDD,十二指腸腔内憩室,Intraluminal Duodenal Diverticulum
IDDM,インスリン依存型糖尿病,Insulin Dependent Diabetes Mellitus
IDL,中間型リポ蛋白,Intermediate Density Lipoprotein
IDM,糖尿病の妊婦から生まれた新生児,Infant of the Diabetic Mother
IDPA,特発性肺動脈拡張,Idiopathic Dilatation of Pulmonary Artery
IDS,免疫不全状態,Immunuty Deficiency State
IDUS,胆管内超音波検査,Intraductal Ultrasound
IDV,間歇性強制換気,Intermittent Demand Ventilation
IE,感染性心内膜炎,Infactive Edocarditis
I/E,吸気/呼気比,Inspiratory/Expiratory Time(ratio)
IEA,下腹壁動脈,Inferior Epigastric Artery
IEC,上皮内癌,Intraepithelial Carcinoma
IF,インターフェロン,Interferon
IFM,イホスファミド,Ifosfamide
IFN,インターフェロン,Interferoｎ
IFX,イホスファミド,Ifosfamide
Ig,免疫グロブリン,Immunoglobulin
IgA,免疫グロブリンA,Immunoglobulin　A
IgA-NP,IgA腎症,IgA Nephropathy
IgD,免疫グロブリンD,Immunoglobulin D
IGDM,糖尿病の妊婦から生まれた新生児,Infant of Gestational Diabetic Mothers
IgE,免疫グロブリンE,Immunoglobulin E
IgG,免疫グロブリンG,Immunoglobulin G
IGH,特発性滴状色素減少症,Idiopathic Guttate Hypomelanosis
IgM,免疫グロブリンM,Immunoglobulin M
IGN,下殿神経,Inferior Gluteal Nerve
IGT,耐糖能低下,Impaired Glicose Tolerance
IGTT,経静脈的糖負荷試験,IntraVenous Glicose Tolerance Test
IH,感染性肝炎,Infections Hepatitis
IHA,持続注入肝動脈血管造影(法）,Infusion Heoatic Angiography
IHD,虚血性心疾患,Ischemic Heart Disease
IHSS,特発性肥大性大動脈弁下狭窄（症）,Idiopathic Hypertrophic Subaortic Stenosis
II,黄疸指数,Icterus Index
IIA,内腸骨動脈,Internal Iliac Artery
IICP,頭蓋内圧亢進,Increased Intracranial Pressure
IIP,特発性間質性肺炎,Idiopathicb Interstitial Pneumonia
IL,インターロイキン,Interleukin
ILBBB,不完全左脚ブロック,Incomplete Left Bundle Branch Block
ILDL,中間型低比重リポ蛋白,Intermediate Low Density Lipopurotein
ILV,片側肺換気,Independent Lung Ventilation
IM,伝染性単核（球）症,Infectious Mononucleosis
IM、im,筋肉内の,Intramuscular、Intramuscularly
Im,胸部中部食道,Middle Intrathoracic
IMA,下腸間膜動脈,Inferior Mesenteric Artery
IMAG,内乳動脈冠状動脈吻合(術),Internal Mammary Artery Grafting
IMB,間歇的強制換気,Intermittent Mandatory Breathing
IMF,顎間固定術,Intermaxillary Fixation
IML,脊髄中間外側核,
immobil,固定する,immobilize
immun,免疫(法)、免疫性,immunization、immunity
IMP,イミプラミン,Imipramine
IPN/CS,イミペネム：シラスタチンナトリウム（チエナム）,Imipenem/Cilastatin Sodium(Tienam)
IMR,インターフェロン-β、ラニムスチンと放射線照射の併用療法,Interferon-beta、Ranimustine(MCNU)and Radiation
IMV,下腸間膜静脈,Inferior Mesenteric Vein
INAD,乳児神経軸索ジストロフィー,Infantile Neuroaxonal Dystrophy
Inc,切痕、切開（単数）,
Incc,切痕、切開(複数）,
IND,治験新薬,Invenstigational New Drug
INF,インターフェロン,Interferon
Inf、inf,浸剤,
inf,下方の,Inferior
infect,感染,Infection
INFH,特発性大腿骨頭壊死,Idiopathic Necrosis of the Femoral Head
inj,注射,Injection
INO,核間（眼筋）麻痺,Internuslear Ophthalmoplegia
IN/OUT,水分出納,Intake Output
INPB(V),間歇的陰圧呼吸法（換気法）,Intermittent Negative Pressure Breathing(ventilation)
Insp,吸気,Inspiration
int,内,Internal
IO,下斜筋,Inferior Oblique Muscle
I&O,(水分の）摂取と排泄量,Intake and Output
IOH(S),特発性起立性低血圧（症候群）,Idiopathic Orthostatic Hypotension(syndrome)
IOL,眼内レンズ,Intraocular Lens
IOP,眼圧,Intraocular Pressure
IORT,術中照射法,Intraoperative Radiation Therapy
IOU,集中観察室,Intensive Observation Unit
IP,イホスファミド、シスプラチンの併用化学療法,Ifosfamide、Cisplatin(CDDP)
IP、ip,腹腔内の,Intraperitoneal
IPAP,吸気時気道加圧,Inspiratory Positive Airway Pressure
IPD,間歇的腹膜透析法,Intermittent Peritonael Dialysis
IPDA,下膵十二指腸動脈,Inferior Pancreatico-Duodenal Artery
IPF,特発性肺線維症,Idiopathic Pulmonary Fibrosis
IPH,特発性肺ヘモジデリン沈着症,Idiopathic Pulmonary Hemosiderosis
IPHP,腹腔内温熱灌流法,Intraperitoneal Hyperthermic Perfusion
IPM,イミペネム,Imipenem
IPNPB,間歇的陽陰圧呼吸,Intermittent Positive Negative Pressure Breathing
IPNPV,間歇的陽陰圧換気,Intermittent Positive Negative Pressure Ventilation
IPPB,間歇的陽圧呼吸,Intermittent Positive Pressure Breathing
IPPR,間歇的陽圧呼吸,Intermittent Positive Pressure Respiration
IPPV,間歇的陽圧換気,Intermittent Positive Pressure Ventilation
IPV,不活化ポリオワクチン,Inactivated Poliovirus Vaccine
IQ,知能指数,Intelligence Quoteint
IR,内旋,Internal Rotation
IRA,回腸・直腸吻合(術）,Ileo-Rectal Anastomosis
IRBBB,不完全右脚ブロック,Incomplete Right Bundle Branch Block
IRCU,集中呼吸管理室,Intensive Respiratory Care Unit
IRDNI,特発性新生児呼吸障害,Idiopathic Resiratory Distress of the Newborn Infant
IRDS,新生児呼吸窮迫症候群,Infantil Respiratory Distress Syndrome
IRI,免疫反応性インスリン,Immunoreactive Insulin
IRSA,本態性不応性鉄芽球性貧血,Idiopathic Refractory Sideroblastic Anemia
IRV,吸気/呼気逆比換気,Inverse Ratio Ventulation
IS,特発性側彎症,Idiopathic Scoliosis
ISA,不規則性洞不整脈,Irregular Sinus Arrhythmia
ISD、ISDN、ISN,硝酸イソソルビド,Isosoebide Dinitrate
ISF,間質液,Interstitial Fluid
ISG,免疫血清グロブリン,Immune Serum Globulin
ISO,イソフルレン,Isofluren
ISS,外傷重症度スコア、傷害重症度,Injury Severity Score
IUR,初期心筋摂取率,Initial Myocardial Uptake Ratio
IT,髄腔内(注射),Intrathecal(injection)
ITA,内胸動脈,Internal Thoracic Artery
ITP,特発性血小板減少性紫斑病,Idiopathic Thrombocytopenic Purpura
ITT,インスリン負荷試験,Insulin Tolerance Test
IU,国際単位,International Unit
Iu,胸部上部食道,Upper Intrathorcic Esophagus
IU(C)D,子宮内(避妊)器具,Intrauterine(contraceptive)Device
IUFD,子宮内胎児死亡,Intrauterine Fetal Death
IUGR,子宮内胎児発育遅延,Intrauterine Growth Retardation
IUP,子宮内圧,Intrauterine Pressure
IUT,子宮内胎児輸血,Intrauterine Transfusion
IV,尋常性魚鱗癬,
IV、iv,静脈内の,Intravenous
IVBAT,血管内気管支肺胞上皮腫瘍,Intravascular Bronchioalveolar Tumor
IVC,下大静脈,Inferior Vena Cava
IVCD,心室内伝導遅延（障害）,Intraventricular Conduction Delay(defect)
IVCG,下大静脈造影（法）,Inferior Venacavography
IVCT,経静脈的冠状動脈血栓溶解療法,Intravenous Coronary Thrombolusis
IVF,体外受精,In Uitro Fertilization
IVGTT,経静脈性ブドウ糖負荷試験,Intravenous Glucpse Tolerance Test
IVH,経静脈性高カロリー輸液、中心静脈栄養,Intravenous Hyperalimentation
IVM,不随意運動,Involuntary Movement
IVP,静脈性腎盂造影(法),Intravenous Pyelography
IVS,心室中隔,Intraventricular Septum
IVST,心室中隔厚,Interventricular Septal Thickness
IVT、ivt,脳室内,Intraventricular
IW,不感蒸泄,Insensible Water
J,【ジュール】ジュール,Joule
JCCLS,若年性慢性骨髄性白血病,Juvenile type Chronic Myelocytic Leukemia
JDM,若年型糖尿病,JuvenileDiabetes Mellitus
JE（V）,日本脳炎（ウイルス）,Japanese Encephalitis
JEB,【ジェブ】接合型表皮水疱症,Junctional Epidermolysis Bullosa
JJ,顎反射,Jaw Jerk
Jｋ,キッド式血液型,Kidd blood type
JM,ジョサマイシン,Josamycin
JOD,若年型糖尿病,Juvenile Onset Diabetes mellitus
JP,若年性パーキソニズム,Juvenile Parkinsonism
JPC,房室接合部性期外収縮,Junctional Premature Contraction
JRA,若年性関節リウマチ,Juvenile Rheumatoid Arthritis
jt,関節,joint
JV,頸静脈,Jugular Veins
JVP,頸静脈波,Jugular Venous Pulse
K,【カリウム】カリウム,Klium（ラ）
kcal,【キロカロリー】キロカロリー、大カロリー,kilocalorie
KCS,乾性角結膜炎,Keratoconjunctivitis Sicca（ラ）
KCZ,ケトコナゾール,Ketokonazole
KDM,カネンドマイシン,Kanendomycin
kg,【キロギラム】キログラム,kilogram
17-KGS,17-ケト原生ステロイド,17-Ketogenic Steroids
KI,ヨードカリ,potassium [K]iodide
KID,【キッド】子山羊（角膜炎、魚鱗癬、難聴）症候群,Keratitis、Ichthyosis、Deafness(syndrome)
KIT,【キット】カーン知能検査,Kahn Intelligence Tests
KJ、kj,膝反射,Knee　Jerk
KM,カナマイシン,Kanamycin
km,ミカエリス定数,Michaelis　Constant
KOH,水酸化ナトリウム,potassium Hydroxide
KP,角膜後面沈着物,Keratic　Precipitates
KPE,ケルマン超音波白内障破砕吸引術,Kelman's　Phacoemulsification
17-KS,17-ケトステロイド,17-KetoSteroids
KSD,びまん性表層角膜炎,
KT,体温,
KTPP,進行性指掌角皮症,
KUB,腎・尿管・膀胱単純X線撮影,Kidney、Ureter and Bladder(X-ray examination)
L,側方の,Lateral
LA,局所麻酔,Local　Anesthesia
L/A,左房大動脈比,Left　Atrium/Aortic　Root　Ratio
LAA,左心耳,Left　Atrial　Appendage
LA/Ao,左心房大動脈径比,Left　Atrial　/　Aortic　Root　Ratio
Lab,実験室,Laboratory
LAC,肘からのギプス,Long-Arm　Cast
LAD,言語習得機能,Language　Acquisiton　Device
LAH,左脚前枝ブロック,Left　Anterior　Hemiblock
LAO,左前斜位像,Left　Anterior　Oblique
LAP,白血球アルカリホスファターゼ,Leukocyte　Alkaline　Phosphatase
Laparo,腹腔鏡検査,Laparoscopy
LAR,遅発型喘息反応,Late　Asthamatic　Response
LAS,肘からの副枝,Long-Arm　Splint
LAT,ラテックス凝集試験,Latex　Agglutination　Test
Lat,側方の,Lateral
Lat man,外側半月板切除術,Lateral　Meniscectomy
LBBB,左脚ブロック,Left　Bundle　Branch　Block
LBP,腰痛,Low　Back　Pain
LBWI,低出生体重児,Low　Birth　Weight　Infant
LC,意識障害,Loss of Consciousness
LC　５０,５０％致死濃度,Lethal　Concentration　５０
LCA,白血球関連抗原,Leukocyte　Common　Antigen
LCBF,局所脳血流,Local　Cerebral　Blood　Flow
LCC,先天性股関節脱臼,Luxatio　Coxae　Congenita（ラ）
LCCS,低子宮頸部帝王切開術,Low　Cervical　Ceasａren　Ｓｅｃｔｉｏｎ
LCOS,低心拍出量症候群,Low　Cardiac　Output　Syndrome
LCX,左（冠状動脈）回旋枝,Lefe　（Coronary　Aetery）Circumflex
LD,限局性病変,Limited　Disease
LDA,低吸収濃度域,Low　Density　Area
LDGL,リンパ球増多症,Lymphoproliferative　Disorders　ｏｆ　Ｇｒａｎｕｌａｒ　Ｌｙｍｐｈｏｃｙｔｅｓ
ＬＤＨ,腰椎椎間板ヘルニア,Lumbar　Ｄｉｓｃ　Ｈｅｒｎｉａｔｉｏｎ
ＬＤＬ,低比重リポ蛋白,Ｌｏｗ　Ｄｅｎｓｉｔｙ　Ｌｉｐｏｐｒｏｔｅｉｎ
ＬＤＬ－Ｃ,低比重リポ蛋白コレステロール,Ｌｏｗ　Ｄｅｎｓｉｔｙ　Ｌｉｐｏｐｒｏｔｅｉｎ　Ｃｈｏｌｅｓｔｅｒｏｌ
ＬＤ５０,５０％致死量,Ｍｅｄｉａｎ　Ｌｅｔｈａｌ　Ｄｏｓｅ
ＬＤ１００,１００％致死量,Ｉｎｖａｒｉａｂｌｙ　Ｌｅｔｈａｌ　Ｄｏｓｅ
ＬＥ,下肢,Ｌｏｗｅｒ　Ｅｘｔｒｅｍｉｔｙ
Ｌ／Ｅ,下肢,Ｌｏｗｅｒ　Ｅｘｔｒｅｍｉｔｙ
LFA,左前頭前位(胎位),Left Frontoanterior(position)
LFD,最小致死量,Least Fatal Dose
LFP,左前頭後位(胎位),Left Frontoposterior(position)
LFT,肝機能検査,Liver Function Test
LG,肢体型筋ジストロフィー,Limb-Girdle(muscular dystrophy)
LGA,在胎に比して軽い,Light for Gestational Age
LGEA,左胃大網動脈,Left Gastroepiploic Artery
LH,黄体形成ホルモン,Luteinzing Hormone、Luteotrop(h)in
LHA,左肝動脈,Left Hepatic Artery
LHB,左心バイパス,Left Heart Bypass
LHC,左心カテーテル法,Left Heart Catheterization
LHRH,黄体形成ホルモン放出ホルモン,Luteinizing Hormone Releasing Hormone
LHV,左肝静脈,Left Hepatic Vein
LI,レーザー虹彩切開(術),Laser Iridotomy
LIP,リンパ球性間質性肺炎,Lymphocytic Interstitial Pneumonia
Liq,リコール、液、髄液、脳脊髄液,Liquor Cerebrospinalis
LK,キーゼルバッハ部位,
LL,下眼瞼,Lower Lid
LLB,長下肢装具,Long Leg Brace
LLC,長下肢ギプス包帯,Long Leg Cast
LLD,脚長差,Leg Length Discrepancy
LLE,左下肢,Left Lower Extremity
LLL,左下肢,Left Lower Limb
LLQ,左下腹部,Left Lower Quadrant
LMA,左頤部前位(胎位),Left Mentoanterior(position)
LMN,下位運動ニューロン,Lower Motor Neuron
LMP,最終月経,Last Menstrual Period
LMT,左頤部横位(胎位),Left Mentotransverse(position)
LMWD,低分子デキストラン,Low Molecular Weight Dextran
LN,リンパ節,
LNMP,最終正常月経,Last Normal Menstrual Period
LOA,左前方後頭位(胎位),Left Occipitoanterior(position)
LOC,意識消失,Loss Of Consciousness
LOP,左後方後頭位(胎位),Left Occipitoposterior(position)
LOS,低拍出量症候群,Low (caediac) Output Syndrome
LP,腰椎穿刺,Lumbar Puncture
L-P,腰部くも膜下腔腹腔シャント,Lumbo-Peritoneal(shunt)
LPD,リピオドール,Lipiodol
LPH,左脚後枝ブロック,Left Posterior Hemiblock
LPM,最終月経,Last Period of Menstruation
LPO,左後斜位,Left Posterior Oblique
Lp-TAE,リピオドール動脈塞栓術,Lipiodol Transarterial Embolization
LQTS,QT延長症候群,Long QT Syndrome
LR,外直筋,Lateral Rectus(muscle)
LRD,低残渣食,Low residue Diet
LRS,乳酸加リンゲル,Lactated Ringer's Solution
LSA,左仙骨前位(胎位),Left Sacroanterior(position)
LScA,左肩甲骨前位(胎位),Left Scapulo Anterior(position)
LScP,左肩甲骨後位(胎位),Left Scapulo Posterior(position)
LSCS,腰部脊柱管狭窄(症),Lumbar Spinal Canal Stenosis
LScT,左肩甲骨横位(胎位),Left Scapulo Transverse(position)
LSO,左側付属器摘出(術),Left Salpingo-Oophorectomy
LSP,左仙骨後位(胎位),Left Sacroposterior (position)
L-spine,腰椎,Lumbar Spine
LSS,腰部脊柱管狭窄症,Lumbar Spinal Stenosis
LST,左仙骨横位(胎位),Left Sacrotransverse(position)
LSTI,左室収縮時間比,Left Systolic Time Interval
LSVC,左上大静脈,Left Superior Vena cava
LT,ロイコトリエン,Leukotriene
LTA,喉頭気管麻酔,Laryngoyracheal Anesthesia
LTC,肺胸郭コンプライアンス,Lung Thorax Compliance
LTH,黄体刺激ホルモン,Luteotropic Hormone
LUL,左肺上葉、左肺上葉切除(術),Left Upper Lobe of Lung、Left Upper Lobectomy
LV,左心室,Left Ventricle
LVAD,左室補助装置,Ventricular Asist Device
LVAS,左心補助装置,Left Ventricular Asist System
LVD,左室径,Left Ventricular Diameter(dimension)
LVDd、LVEDD,左室拡張終(末)期径,Left Ventricular End-Diastolic Diameter(dimension)
LVDs、LVESD,左室収縮終(末)期径,Left Ventricular End-Systolic Diameter(dimension)
LVEDP,左室拡張終(末)期圧,Left Ventricular End-Diastolic Pressure
LVEDV,左室拡張終(末)期容量,Left Ventricular End-Diastolic Volume
LVEF,左室駆出分画,Left Ventricular Ejection Fraction
LVESP,左室収縮終(末)期圧,Left Ventricular End-Systolic Pressure
LVESV,左室収縮終(末)期容量,Left Ventricular End-Systolic Volume
LVET,左室駆出時間,Left Ventricular Ejection Time
LVG,左室造影(法),Left Ventriculography
LVH,左室肥大,Left Ventricular Hypertrophy
LV mass,左室体積,Left Ventricular Mass
LV out,左室流出路,Left Ventricular Outflow Tract
LVMDP,左室平均拡張期圧,Left Ventricular Mean Diastolic Pressure
LVOT,左室流出路,Left Ventricular Outflow Tract
LVOTD,左室流出路径,Left Ventricular Outflow Tract Dimension
LVPW,左室後壁,Left Ventricular Posterior Wall
LVSW,左室１回仕事量,Left Ventricular Stroke Work
LVSWI,左室１回仕事量係数,Left Ventricular Stroke Work Index
LVV,左室容量,Left Ventricular Volume
L&V,健在,Living and Well
Ｍ,悪性,Ｍａｌｉｇｎａｎｔ
ＭＡ,運動性失語症,Ｍｏｔｏｒ　Ａｐｈａｓｉａ
ＭＡＡＳ,過度羊水吸引症候群,Ｍａｓｓｉｖｅ　Ｍｍｎｉｏｎ　Ａｓｐｉｒａｔｉｏｎ　Ｓｙｎｄｒｏｍｅ
ＭＡＣ,最小肺胞内濃度,Ｍｉｎｉｍｕｍ　Ａｌｖｅｏｌａｒ　Ｃｏｎｃｅｎｔｒａｔｉｏｎ
ＭＡＤ,最大許容線量,Ｍａｘｉｍｕｍ　Ａｌｌｏｗａｂｌｅ　Ｄｏｓｅ
ＭＡＨＣ,悪性腫瘍随伴性高カルシウム血症,Ｍａｌｉｇｎａｎｃｙ　Ａｓｓｏｃｉａｔｅｄ　Ｈｙｐｅｒｃａｌｃｅｍｉａ
ＭＡＰ,僧帽弁輪形成術,Ｍｉｔｒａｌ　Ａｎｎｕｌｏｐｌａｓｔｙ
